time,variable,value_character,value_type,value_numeric
2013-07-01T00:00:00Z,station,NH05,character,NA
2013-08-01T00:00:00Z,station,NH05,character,NA
2013-09-01T00:00:00Z,station,NH05,character,NA
2013-10-01T00:00:00Z,station,NH05,character,NA
2013-11-01T00:00:00Z,station,NH05,character,NA
2013-12-01T00:00:00Z,station,NH05,character,NA
2014-01-01T00:00:00Z,station,NH05,character,NA
2014-02-01T00:00:00Z,station,NH05,character,NA
2014-03-01T00:00:00Z,station,NH05,character,NA
2014-04-01T00:00:00Z,station,NH05,character,NA
2014-05-01T00:00:00Z,station,NH05,character,NA
2014-06-01T00:00:00Z,station,NH05,character,NA
2014-07-01T00:00:00Z,station,NH05,character,NA
2014-08-01T00:00:00Z,station,NH05,character,NA
2014-09-01T00:00:00Z,station,NH05,character,NA
2014-10-01T00:00:00Z,station,NH05,character,NA
2014-11-01T00:00:00Z,station,NH05,character,NA
2014-12-01T00:00:00Z,station,NH05,character,NA
2015-01-01T00:00:00Z,station,NH05,character,NA
2015-02-01T00:00:00Z,station,NH05,character,NA
2015-03-01T00:00:00Z,station,NH05,character,NA
2015-04-01T00:00:00Z,station,NH05,character,NA
2015-05-01T00:00:00Z,station,NH05,character,NA
2015-06-01T00:00:00Z,station,NH05,character,NA
2015-07-01T00:00:00Z,station,NH05,character,NA
2015-08-01T00:00:00Z,station,NH05,character,NA
2015-09-01T00:00:00Z,station,NH05,character,NA
2015-10-01T00:00:00Z,station,NH05,character,NA
2015-11-01T00:00:00Z,station,NH05,character,NA
2016-01-01T00:00:00Z,station,NH05,character,NA
2016-02-01T00:00:00Z,station,NH05,character,NA
2016-03-01T00:00:00Z,station,NH05,character,NA
2016-04-01T00:00:00Z,station,NH05,character,NA
2016-05-01T00:00:00Z,station,NH05,character,NA
2016-06-01T00:00:00Z,station,NH05,character,NA
2016-07-01T00:00:00Z,station,NH05,character,NA
2016-08-01T00:00:00Z,station,NH05,character,NA
2016-09-01T00:00:00Z,station,NH05,character,NA
2016-10-01T00:00:00Z,station,NH05,character,NA
2016-11-01T00:00:00Z,station,NH05,character,NA
2016-12-01T00:00:00Z,station,NH05,character,NA
2017-01-01T00:00:00Z,station,NH05,character,NA
2017-02-01T00:00:00Z,station,NH05,character,NA
2017-03-01T00:00:00Z,station,NH05,character,NA
2017-04-01T00:00:00Z,station,NH05,character,NA
2017-05-01T00:00:00Z,station,NH05,character,NA
2017-06-01T00:00:00Z,station,NH05,character,NA
2017-07-01T00:00:00Z,station,NH05,character,NA
2017-08-01T00:00:00Z,station,NH05,character,NA
2017-09-01T00:00:00Z,station,NH05,character,NA
2017-10-01T00:00:00Z,station,NH05,character,NA
2017-11-01T00:00:00Z,station,NH05,character,NA
1998-08-01T00:00:00Z,station,NH25,character,NA
1998-09-01T00:00:00Z,station,NH25,character,NA
1998-11-01T00:00:00Z,station,NH25,character,NA
1999-02-01T00:00:00Z,station,NH25,character,NA
1999-04-01T00:00:00Z,station,NH25,character,NA
1999-07-01T00:00:00Z,station,NH25,character,NA
1999-09-01T00:00:00Z,station,NH25,character,NA
1999-11-01T00:00:00Z,station,NH25,character,NA
2000-02-01T00:00:00Z,station,NH25,character,NA
2000-04-01T00:00:00Z,station,NH25,character,NA
2000-07-01T00:00:00Z,station,NH25,character,NA
2000-09-01T00:00:00Z,station,NH25,character,NA
2001-01-01T00:00:00Z,station,NH25,character,NA
2001-03-01T00:00:00Z,station,NH25,character,NA
2001-07-01T00:00:00Z,station,NH25,character,NA
2001-09-01T00:00:00Z,station,NH25,character,NA
2001-11-01T00:00:00Z,station,NH25,character,NA
2002-02-01T00:00:00Z,station,NH25,character,NA
2002-04-01T00:00:00Z,station,NH25,character,NA
2002-05-01T00:00:00Z,station,NH25,character,NA
2002-06-01T00:00:00Z,station,NH25,character,NA
2002-07-01T00:00:00Z,station,NH25,character,NA
2002-09-01T00:00:00Z,station,NH25,character,NA
2002-12-01T00:00:00Z,station,NH25,character,NA
2003-02-01T00:00:00Z,station,NH25,character,NA
2003-04-01T00:00:00Z,station,NH25,character,NA
2003-07-01T00:00:00Z,station,NH25,character,NA
2003-09-01T00:00:00Z,station,NH25,character,NA
2004-06-01T00:00:00Z,station,NH25,character,NA
2004-08-01T00:00:00Z,station,NH25,character,NA
2004-09-01T00:00:00Z,station,NH25,character,NA
2005-06-01T00:00:00Z,station,NH25,character,NA
2005-09-01T00:00:00Z,station,NH25,character,NA
2005-11-01T00:00:00Z,station,NH25,character,NA
2005-12-01T00:00:00Z,station,NH25,character,NA
2006-02-01T00:00:00Z,station,NH25,character,NA
2006-04-01T00:00:00Z,station,NH25,character,NA
2006-05-01T00:00:00Z,station,NH25,character,NA
2006-06-01T00:00:00Z,station,NH25,character,NA
2006-07-01T00:00:00Z,station,NH25,character,NA
2006-08-01T00:00:00Z,station,NH25,character,NA
2006-09-01T00:00:00Z,station,NH25,character,NA
2006-10-01T00:00:00Z,station,NH25,character,NA
2006-12-01T00:00:00Z,station,NH25,character,NA
2007-01-01T00:00:00Z,station,NH25,character,NA
2007-02-01T00:00:00Z,station,NH25,character,NA
2007-03-01T00:00:00Z,station,NH25,character,NA
2007-04-01T00:00:00Z,station,NH25,character,NA
2007-05-01T00:00:00Z,station,NH25,character,NA
2007-06-01T00:00:00Z,station,NH25,character,NA
2007-07-01T00:00:00Z,station,NH25,character,NA
2007-08-01T00:00:00Z,station,NH25,character,NA
2007-09-01T00:00:00Z,station,NH25,character,NA
2007-10-01T00:00:00Z,station,NH25,character,NA
2007-11-01T00:00:00Z,station,NH25,character,NA
2007-12-01T00:00:00Z,station,NH25,character,NA
2008-02-01T00:00:00Z,station,NH25,character,NA
2008-03-01T00:00:00Z,station,NH25,character,NA
2008-04-01T00:00:00Z,station,NH25,character,NA
2008-05-01T00:00:00Z,station,NH25,character,NA
2008-06-01T00:00:00Z,station,NH25,character,NA
2008-07-01T00:00:00Z,station,NH25,character,NA
2008-08-01T00:00:00Z,station,NH25,character,NA
2008-09-01T00:00:00Z,station,NH25,character,NA
2008-10-01T00:00:00Z,station,NH25,character,NA
2008-11-01T00:00:00Z,station,NH25,character,NA
2008-12-01T00:00:00Z,station,NH25,character,NA
2009-01-01T00:00:00Z,station,NH25,character,NA
2009-02-01T00:00:00Z,station,NH25,character,NA
2009-03-01T00:00:00Z,station,NH25,character,NA
2009-04-01T00:00:00Z,station,NH25,character,NA
2009-05-01T00:00:00Z,station,NH25,character,NA
2009-06-01T00:00:00Z,station,NH25,character,NA
2009-07-01T00:00:00Z,station,NH25,character,NA
2009-08-01T00:00:00Z,station,NH25,character,NA
2009-09-01T00:00:00Z,station,NH25,character,NA
2009-10-01T00:00:00Z,station,NH25,character,NA
2009-11-01T00:00:00Z,station,NH25,character,NA
2009-12-01T00:00:00Z,station,NH25,character,NA
2010-02-01T00:00:00Z,station,NH25,character,NA
2010-03-01T00:00:00Z,station,NH25,character,NA
2010-04-01T00:00:00Z,station,NH25,character,NA
2010-05-01T00:00:00Z,station,NH25,character,NA
2010-06-01T00:00:00Z,station,NH25,character,NA
2010-07-01T00:00:00Z,station,NH25,character,NA
2010-08-01T00:00:00Z,station,NH25,character,NA
2010-09-01T00:00:00Z,station,NH25,character,NA
2010-10-01T00:00:00Z,station,NH25,character,NA
2010-11-01T00:00:00Z,station,NH25,character,NA
2011-01-01T00:00:00Z,station,NH25,character,NA
2011-02-01T00:00:00Z,station,NH25,character,NA
2011-04-01T00:00:00Z,station,NH25,character,NA
2011-05-01T00:00:00Z,station,NH25,character,NA
2011-06-01T00:00:00Z,station,NH25,character,NA
2011-07-01T00:00:00Z,station,NH25,character,NA
2011-08-01T00:00:00Z,station,NH25,character,NA
2011-09-01T00:00:00Z,station,NH25,character,NA
2011-10-01T00:00:00Z,station,NH25,character,NA
2011-12-01T00:00:00Z,station,NH25,character,NA
2012-01-01T00:00:00Z,station,NH25,character,NA
2012-03-01T00:00:00Z,station,NH25,character,NA
2012-04-01T00:00:00Z,station,NH25,character,NA
2012-05-01T00:00:00Z,station,NH25,character,NA
2012-06-01T00:00:00Z,station,NH25,character,NA
2012-07-01T00:00:00Z,station,NH25,character,NA
2012-08-01T00:00:00Z,station,NH25,character,NA
2012-09-01T00:00:00Z,station,NH25,character,NA
2012-10-01T00:00:00Z,station,NH25,character,NA
2012-11-01T00:00:00Z,station,NH25,character,NA
2013-01-01T00:00:00Z,station,NH25,character,NA
2013-03-01T00:00:00Z,station,NH25,character,NA
2013-04-01T00:00:00Z,station,NH25,character,NA
2013-05-01T00:00:00Z,station,NH25,character,NA
2013-06-01T00:00:00Z,station,NH25,character,NA
2013-07-01T00:00:00Z,station,NH25,character,NA
2013-08-01T00:00:00Z,station,NH25,character,NA
2013-10-01T00:00:00Z,station,NH25,character,NA
2013-11-01T00:00:00Z,station,NH25,character,NA
2013-12-01T00:00:00Z,station,NH25,character,NA
2014-01-01T00:00:00Z,station,NH25,character,NA
2014-02-01T00:00:00Z,station,NH25,character,NA
2014-04-01T00:00:00Z,station,NH25,character,NA
2014-05-01T00:00:00Z,station,NH25,character,NA
2014-06-01T00:00:00Z,station,NH25,character,NA
2014-07-01T00:00:00Z,station,NH25,character,NA
2014-08-01T00:00:00Z,station,NH25,character,NA
2014-09-01T00:00:00Z,station,NH25,character,NA
2014-10-01T00:00:00Z,station,NH25,character,NA
2014-11-01T00:00:00Z,station,NH25,character,NA
2015-01-01T00:00:00Z,station,NH25,character,NA
2015-02-01T00:00:00Z,station,NH25,character,NA
2015-03-01T00:00:00Z,station,NH25,character,NA
2015-04-01T00:00:00Z,station,NH25,character,NA
2015-05-01T00:00:00Z,station,NH25,character,NA
2015-06-01T00:00:00Z,station,NH25,character,NA
