time,variable,value_character,value_numeric,value_type
1950-01-01T00:00:00Z,NPGO,NA,-2.188395,numeric
1950-02-01T00:00:00Z,NPGO,NA,-1.4458314,numeric
1950-03-01T00:00:00Z,NPGO,NA,-0.9650357,numeric
1950-04-01T00:00:00Z,NPGO,NA,-0.858788,numeric
1950-05-01T00:00:00Z,NPGO,NA,-0.6340822,numeric
1950-06-01T00:00:00Z,NPGO,NA,-0.5809843,numeric
1950-07-01T00:00:00Z,NPGO,NA,-0.7421143,numeric
1950-08-01T00:00:00Z,NPGO,NA,-0.5493842,numeric
1950-09-01T00:00:00Z,NPGO,NA,-0.601545,numeric
1950-10-01T00:00:00Z,NPGO,NA,0.11943427,numeric
1950-11-01T00:00:00Z,NPGO,NA,-0.2570744,numeric
1950-12-01T00:00:00Z,NPGO,NA,-0.49336648,numeric
1951-01-01T00:00:00Z,NPGO,NA,-0.4785301,numeric
1951-02-01T00:00:00Z,NPGO,NA,-0.41382623,numeric
1951-03-01T00:00:00Z,NPGO,NA,-0.5695402,numeric
1951-04-01T00:00:00Z,NPGO,NA,-0.5611402,numeric
1951-05-01T00:00:00Z,NPGO,NA,-1.0714146,numeric
1951-06-01T00:00:00Z,NPGO,NA,-1.4352384,numeric
1951-07-01T00:00:00Z,NPGO,NA,-1.1039251,numeric
1951-08-01T00:00:00Z,NPGO,NA,-1.1748548,numeric
1951-09-01T00:00:00Z,NPGO,NA,-1.4195153,numeric
1951-10-01T00:00:00Z,NPGO,NA,-1.0693902,numeric
1951-11-01T00:00:00Z,NPGO,NA,-1.0120413,numeric
1951-12-01T00:00:00Z,NPGO,NA,-1.2247459,numeric
1952-01-01T00:00:00Z,NPGO,NA,-1.3350548,numeric
1952-02-01T00:00:00Z,NPGO,NA,-1.0909977,numeric
1952-03-01T00:00:00Z,NPGO,NA,-0.66951597,numeric
1952-04-01T00:00:00Z,NPGO,NA,-0.43371916,numeric
1952-05-01T00:00:00Z,NPGO,NA,-0.62650865,numeric
1952-06-01T00:00:00Z,NPGO,NA,-0.9726563,numeric
1952-07-01T00:00:00Z,NPGO,NA,-1.3356465,numeric
1952-08-01T00:00:00Z,NPGO,NA,-0.8974282,numeric
1952-09-01T00:00:00Z,NPGO,NA,-0.58261824,numeric
1952-10-01T00:00:00Z,NPGO,NA,-0.25781196,numeric
1952-11-01T00:00:00Z,NPGO,NA,-0.3162133,numeric
1952-12-01T00:00:00Z,NPGO,NA,0.8450804,numeric
1953-01-01T00:00:00Z,NPGO,NA,0.9439523,numeric
1953-02-01T00:00:00Z,NPGO,NA,0.7479716,numeric
1953-03-01T00:00:00Z,NPGO,NA,1.2173325,numeric
1953-04-01T00:00:00Z,NPGO,NA,1.2502004,numeric
1953-05-01T00:00:00Z,NPGO,NA,1.2707072,numeric
1953-06-01T00:00:00Z,NPGO,NA,1.056728,numeric
1953-07-01T00:00:00Z,NPGO,NA,1.0407542,numeric
1953-08-01T00:00:00Z,NPGO,NA,0.6189014,numeric
1953-09-01T00:00:00Z,NPGO,NA,0.290731,numeric
1953-10-01T00:00:00Z,NPGO,NA,1.0815173,numeric
1953-11-01T00:00:00Z,NPGO,NA,2.0496204,numeric
1953-12-01T00:00:00Z,NPGO,NA,1.418955,numeric
1954-01-01T00:00:00Z,NPGO,NA,1.0939573,numeric
1954-02-01T00:00:00Z,NPGO,NA,1.156514,numeric
1954-03-01T00:00:00Z,NPGO,NA,0.07937343,numeric
1954-04-01T00:00:00Z,NPGO,NA,-0.37253308,numeric
1954-05-01T00:00:00Z,NPGO,NA,-0.16404022,numeric
1954-06-01T00:00:00Z,NPGO,NA,0.17838068,numeric
1954-07-01T00:00:00Z,NPGO,NA,-0.035203405,numeric
1954-08-01T00:00:00Z,NPGO,NA,-0.13153747,numeric
1954-09-01T00:00:00Z,NPGO,NA,-0.2628033,numeric
1954-10-01T00:00:00Z,NPGO,NA,0.18381241,numeric
1954-11-01T00:00:00Z,NPGO,NA,0.35474005,numeric
1954-12-01T00:00:00Z,NPGO,NA,0.40412548,numeric
1955-01-01T00:00:00Z,NPGO,NA,0.32620734,numeric
1955-02-01T00:00:00Z,NPGO,NA,-0.24927549,numeric
1955-03-01T00:00:00Z,NPGO,NA,-0.2159785,numeric
1955-04-01T00:00:00Z,NPGO,NA,0.0407132,numeric
1955-05-01T00:00:00Z,NPGO,NA,0.26141044,numeric
1955-06-01T00:00:00Z,NPGO,NA,-0.015894134,numeric
1955-07-01T00:00:00Z,NPGO,NA,-0.088022545,numeric
1955-08-01T00:00:00Z,NPGO,NA,0.2745267,numeric
1955-09-01T00:00:00Z,NPGO,NA,-0.11022702,numeric
1955-10-01T00:00:00Z,NPGO,NA,-0.5241936,numeric
1955-11-01T00:00:00Z,NPGO,NA,-0.08002877,numeric
1955-12-01T00:00:00Z,NPGO,NA,-0.5180143,numeric
1956-01-01T00:00:00Z,NPGO,NA,0.1202669,numeric
1956-02-01T00:00:00Z,NPGO,NA,-0.13795981,numeric
1956-03-01T00:00:00Z,NPGO,NA,0.022979146,numeric
1956-04-01T00:00:00Z,NPGO,NA,-0.038234934,numeric
1956-05-01T00:00:00Z,NPGO,NA,0.14195733,numeric
1956-06-01T00:00:00Z,NPGO,NA,0.47106722,numeric
1956-07-01T00:00:00Z,NPGO,NA,0.4639145,numeric
1956-08-01T00:00:00Z,NPGO,NA,0.5397591,numeric
1956-09-01T00:00:00Z,NPGO,NA,0.30064613,numeric
1956-10-01T00:00:00Z,NPGO,NA,-0.05150898,numeric
1956-11-01T00:00:00Z,NPGO,NA,-0.22625107,numeric
1956-12-01T00:00:00Z,NPGO,NA,-0.76721174,numeric
1957-01-01T00:00:00Z,NPGO,NA,-1.2715967,numeric
1957-02-01T00:00:00Z,NPGO,NA,-1.9587271,numeric
1957-03-01T00:00:00Z,NPGO,NA,-1.3393664,numeric
1957-04-01T00:00:00Z,NPGO,NA,-1.2553542,numeric
1957-05-01T00:00:00Z,NPGO,NA,-1.0382093,numeric
1957-06-01T00:00:00Z,NPGO,NA,-1.168171,numeric
1957-07-01T00:00:00Z,NPGO,NA,-0.75587755,numeric
1957-08-01T00:00:00Z,NPGO,NA,-0.9054412,numeric
1957-09-01T00:00:00Z,NPGO,NA,-0.9222347,numeric
1957-10-01T00:00:00Z,NPGO,NA,-1.028629,numeric
1957-11-01T00:00:00Z,NPGO,NA,-1.407435,numeric
1957-12-01T00:00:00Z,NPGO,NA,-0.71664125,numeric
1958-01-01T00:00:00Z,NPGO,NA,0.11660279,numeric
1958-02-01T00:00:00Z,NPGO,NA,0.14663044,numeric
1958-03-01T00:00:00Z,NPGO,NA,-1.1516998,numeric
1958-04-01T00:00:00Z,NPGO,NA,-0.7193548,numeric
1958-05-01T00:00:00Z,NPGO,NA,-0.8509836,numeric
1958-06-01T00:00:00Z,NPGO,NA,-0.72342443,numeric
1958-07-01T00:00:00Z,NPGO,NA,-0.8696465,numeric
1958-08-01T00:00:00Z,NPGO,NA,-0.6288164,numeric
1958-09-01T00:00:00Z,NPGO,NA,-0.2044341,numeric
1958-10-01T00:00:00Z,NPGO,NA,-0.50880796,numeric
1958-11-01T00:00:00Z,NPGO,NA,-0.7745184,numeric
1958-12-01T00:00:00Z,NPGO,NA,-0.4052313,numeric
1959-01-01T00:00:00Z,NPGO,NA,0.12278854,numeric
1959-02-01T00:00:00Z,NPGO,NA,-0.5906448,numeric
1959-03-01T00:00:00Z,NPGO,NA,-0.39206877,numeric
1959-04-01T00:00:00Z,NPGO,NA,-0.45130384,numeric
1959-05-01T00:00:00Z,NPGO,NA,-0.43784907,numeric
1959-06-01T00:00:00Z,NPGO,NA,-0.37320206,numeric
1959-07-01T00:00:00Z,NPGO,NA,-0.39649445,numeric
1959-08-01T00:00:00Z,NPGO,NA,-0.50436497,numeric
1959-09-01T00:00:00Z,NPGO,NA,0.0726592,numeric
1959-10-01T00:00:00Z,NPGO,NA,0.13413239,numeric
1959-11-01T00:00:00Z,NPGO,NA,-0.04796909,numeric
1959-12-01T00:00:00Z,NPGO,NA,0.42278478,numeric
1960-01-01T00:00:00Z,NPGO,NA,1.0163805,numeric
1960-02-01T00:00:00Z,NPGO,NA,0.81857806,numeric
1960-03-01T00:00:00Z,NPGO,NA,0.8632686,numeric
1960-04-01T00:00:00Z,NPGO,NA,0.7934822,numeric
1960-05-01T00:00:00Z,NPGO,NA,0.9189205,numeric
1960-06-01T00:00:00Z,NPGO,NA,0.31314453,numeric
1960-07-01T00:00:00Z,NPGO,NA,0.7091522,numeric
1960-08-01T00:00:00Z,NPGO,NA,0.43794465,numeric
1960-09-01T00:00:00Z,NPGO,NA,0.52397597,numeric
1960-10-01T00:00:00Z,NPGO,NA,0.4885355,numeric
1960-11-01T00:00:00Z,NPGO,NA,0.95336825,numeric
1960-12-01T00:00:00Z,NPGO,NA,1.1361285,numeric
1961-01-01T00:00:00Z,NPGO,NA,1.1032184,numeric
1961-02-01T00:00:00Z,NPGO,NA,1.3593808,numeric
1961-03-01T00:00:00Z,NPGO,NA,1.7493986,numeric
1961-04-01T00:00:00Z,NPGO,NA,0.9571569,numeric
1961-05-01T00:00:00Z,NPGO,NA,1.4002097,numeric
1961-06-01T00:00:00Z,NPGO,NA,1.2018429,numeric
1961-07-01T00:00:00Z,NPGO,NA,1.0626986,numeric
1961-08-01T00:00:00Z,NPGO,NA,1.0746483,numeric
1961-09-01T00:00:00Z,NPGO,NA,0.7729668,numeric
1961-10-01T00:00:00Z,NPGO,NA,0.34873727,numeric
1961-11-01T00:00:00Z,NPGO,NA,0.22058506,numeric
1961-12-01T00:00:00Z,NPGO,NA,0.3973708,numeric
1962-01-01T00:00:00Z,NPGO,NA,0.17476225,numeric
1962-02-01T00:00:00Z,NPGO,NA,-0.14977738,numeric
1962-03-01T00:00:00Z,NPGO,NA,-0.6076764,numeric
1962-04-01T00:00:00Z,NPGO,NA,-0.47141796,numeric
1962-05-01T00:00:00Z,NPGO,NA,-0.7390136,numeric
1962-06-01T00:00:00Z,NPGO,NA,-0.30441144,numeric
1962-07-01T00:00:00Z,NPGO,NA,-0.062123466,numeric
1962-08-01T00:00:00Z,NPGO,NA,-0.37063506,numeric
1962-09-01T00:00:00Z,NPGO,NA,0.33421582,numeric
1962-10-01T00:00:00Z,NPGO,NA,0.16424,numeric
1962-11-01T00:00:00Z,NPGO,NA,0.44560528,numeric
1962-12-01T00:00:00Z,NPGO,NA,0.46514246,numeric
1963-01-01T00:00:00Z,NPGO,NA,-0.8128502,numeric
1963-02-01T00:00:00Z,NPGO,NA,-0.27996257,numeric
1963-03-01T00:00:00Z,NPGO,NA,-1.0965502,numeric
1963-04-01T00:00:00Z,NPGO,NA,-0.81056845,numeric
1963-05-01T00:00:00Z,NPGO,NA,-0.42822716,numeric
1963-06-01T00:00:00Z,NPGO,NA,-0.7162381,numeric
1963-07-01T00:00:00Z,NPGO,NA,-0.36669314,numeric
1963-08-01T00:00:00Z,NPGO,NA,-0.1346054,numeric
1963-09-01T00:00:00Z,NPGO,NA,0.11978808,numeric
1963-10-01T00:00:00Z,NPGO,NA,0.50714135,numeric
1963-11-01T00:00:00Z,NPGO,NA,0.66107476,numeric
1963-12-01T00:00:00Z,NPGO,NA,0.54103297,numeric
1964-01-01T00:00:00Z,NPGO,NA,1.0728952,numeric
1964-02-01T00:00:00Z,NPGO,NA,0.29248032,numeric
1964-03-01T00:00:00Z,NPGO,NA,0.3516698,numeric
1964-04-01T00:00:00Z,NPGO,NA,0.25015274,numeric
1964-05-01T00:00:00Z,NPGO,NA,0.2719013,numeric
1964-06-01T00:00:00Z,NPGO,NA,0.8840953,numeric
1964-07-01T00:00:00Z,NPGO,NA,1.6039742,numeric
1964-08-01T00:00:00Z,NPGO,NA,0.7818842,numeric
1964-09-01T00:00:00Z,NPGO,NA,0.91256374,numeric
1964-10-01T00:00:00Z,NPGO,NA,0.7126723,numeric
1964-11-01T00:00:00Z,NPGO,NA,0.07438337,numeric
1964-12-01T00:00:00Z,NPGO,NA,-0.6794434,numeric
1965-01-01T00:00:00Z,NPGO,NA,-0.6092707,numeric
1965-02-01T00:00:00Z,NPGO,NA,-0.8375497,numeric
1965-03-01T00:00:00Z,NPGO,NA,-0.9425717,numeric
1965-04-01T00:00:00Z,NPGO,NA,-0.8794335,numeric
1965-05-01T00:00:00Z,NPGO,NA,-1.1591951,numeric
1965-06-01T00:00:00Z,NPGO,NA,-0.8303012,numeric
1965-07-01T00:00:00Z,NPGO,NA,-0.69218266,numeric
1965-08-01T00:00:00Z,NPGO,NA,-0.44396174,numeric
1965-09-01T00:00:00Z,NPGO,NA,-0.85712343,numeric
1965-10-01T00:00:00Z,NPGO,NA,-0.6830458,numeric
1965-11-01T00:00:00Z,NPGO,NA,-0.9184142,numeric
1965-12-01T00:00:00Z,NPGO,NA,-1.1935027,numeric
1966-01-01T00:00:00Z,NPGO,NA,-0.32304436,numeric
1966-02-01T00:00:00Z,NPGO,NA,-1.114448,numeric
1966-03-01T00:00:00Z,NPGO,NA,-0.5991017,numeric
1966-04-01T00:00:00Z,NPGO,NA,-1.3692633,numeric
1966-05-01T00:00:00Z,NPGO,NA,-1.678718,numeric
1966-06-01T00:00:00Z,NPGO,NA,-1.2637274,numeric
1966-07-01T00:00:00Z,NPGO,NA,-1.1138805,numeric
1966-08-01T00:00:00Z,NPGO,NA,-0.97791946,numeric
1966-09-01T00:00:00Z,NPGO,NA,-0.75325036,numeric
1966-10-01T00:00:00Z,NPGO,NA,-0.79952866,numeric
1966-11-01T00:00:00Z,NPGO,NA,-0.938397,numeric
1966-12-01T00:00:00Z,NPGO,NA,-0.54499555,numeric
1967-01-01T00:00:00Z,NPGO,NA,-0.73605126,numeric
1967-02-01T00:00:00Z,NPGO,NA,-0.6100609,numeric
1967-03-01T00:00:00Z,NPGO,NA,-1.119196,numeric
1967-04-01T00:00:00Z,NPGO,NA,-0.8913807,numeric
1967-05-01T00:00:00Z,NPGO,NA,-0.9950983,numeric
1967-06-01T00:00:00Z,NPGO,NA,-1.252485,numeric
1967-07-01T00:00:00Z,NPGO,NA,-1.1731513,numeric
